,level_0,level_1,cosine,euclidean,hamming,psnr,ssim
0,/home/epicra/YT8M/videos/7/'The Dark Knight'-Monster.mp4,240:426,0.24716074269782384,14.156523142619113,0.7606666666666668,41.9480282086259,0.9740374647432978
1,/home/epicra/YT8M/videos/7/'The Dark Knight'-Monster.mp4,360:640,0.23833240818953672,13.33005595843605,0.728,42.581573490286566,0.9761702158854872
2,/home/epicra/YT8M/videos/7/'The Dark Knight'-Monster.mp4,480:854,0.23043046338397669,13.282643595855836,0.6806666666666666,44.78936505728952,0.9854568743533142
3,/home/epicra/YT8M/videos/7/'The Dark Knight'-Monster.mp4,720:1280,0.20307668207533547,11.838544068998571,0.6193333333333332,46.44929581784878,0.98904522697558
4,"/home/epicra/YT8M/videos/7/10,000 Sumscribers! Toy Sneak Peek - Disney Princess Doc McStuffins Imaginext Vtech Jake Pirates!.mp4",240:426,0.2422564365754149,14.390758377489606,0.78,32.22808492335365,0.9062434965228725
5,"/home/epicra/YT8M/videos/7/10,000 Sumscribers! Toy Sneak Peek - Disney Princess Doc McStuffins Imaginext Vtech Jake Pirates!.mp4",360:640,0.23053440945375622,13.586650715468652,0.6894444444444444,34.54112246588273,0.9515370470886424
6,"/home/epicra/YT8M/videos/7/10,000 Sumscribers! Toy Sneak Peek - Disney Princess Doc McStuffins Imaginext Vtech Jake Pirates!.mp4",480:854,0.17698160599342233,11.102151319404744,0.5611111111111112,37.0098524799903,0.9718447783525607
7,"/home/epicra/YT8M/videos/7/10,000 Sumscribers! Toy Sneak Peek - Disney Princess Doc McStuffins Imaginext Vtech Jake Pirates!.mp4",720:1280,0.16800839528152206,10.427025876146377,0.5161111111111112,38.93474800951835,0.9764104166101084
8,/home/epicra/YT8M/videos/7/141005 FANCAM _ モーニング娘。`14 Live in New York 『ブレインストーミング』.mp4,240:426,0.2577373843195189,14.67730067583547,0.8340277777777779,32.187844385176,0.8621777799714029
9,/home/epicra/YT8M/videos/7/141005 FANCAM _ モーニング娘。`14 Live in New York 『ブレインストーミング』.mp4,360:640,0.25594627918374563,14.316995107558691,0.7722222222222223,34.76691118204855,0.9394329690099945
10,/home/epicra/YT8M/videos/7/141005 FANCAM _ モーニング娘。`14 Live in New York 『ブレインストーミング』.mp4,480:854,0.21638152301260072,13.004244201776443,0.6916666666666668,36.36250777894042,0.9587338076072274
11,/home/epicra/YT8M/videos/7/141005 FANCAM _ モーニング娘。`14 Live in New York 『ブレインストーミング』.mp4,720:1280,0.20329905100050327,12.131979823757007,0.6430555555555556,38.16552738729608,0.9701738101679847
12,/home/epicra/YT8M/videos/7/150502 APINK - MR.CHU @KMF HOLLYWOOD BOWL.mp4,240:426,0.30523694458301137,15.644386943475249,0.8534722222222223,30.498663736461612,0.686008698024278
13,/home/epicra/YT8M/videos/7/150502 APINK - MR.CHU @KMF HOLLYWOOD BOWL.mp4,360:640,0.28326783720490756,14.890861769484948,0.8326388888888889,31.207272134051298,0.7176010050259777
14,/home/epicra/YT8M/videos/7/150502 APINK - MR.CHU @KMF HOLLYWOOD BOWL.mp4,480:854,0.28720294948654623,15.147980772531104,0.8166666666666668,31.082680915020177,0.7300315175522121
15,/home/epicra/YT8M/videos/7/150502 APINK - MR.CHU @KMF HOLLYWOOD BOWL.mp4,720:1280,0.2722694088791089,14.684768240706807,0.8215277777777779,31.21430152510023,0.7621206861265396
16,"/home/epicra/YT8M/videos/7/2011 World Ten Final - Dvorak - Silhanova, CZE _ Quickstep.mp4",240:426,0.25915830608052953,14.645209179916126,0.8066666666666668,33.88534769984351,0.8836153996420824
