,level_0,level_1,temporal_canny-cosine,temporal_canny-euclidean,temporal_difference-cosine,temporal_difference-euclidean
0,../data/1080p/-8ygLPzgpsg.mp4,../data/1080p/-8ygLPzgpsg.mp4,0.0,0.0,0.0,0.0
1,../data/1080p/-8ygLPzgpsg.mp4,../data/1080p_watermark/-8ygLPzgpsg.mp4,0.00020109282056868238,0.4199733113786706,1.8540577601644515e-05,0.20924422750570792
2,../data/1080p/-8ygLPzgpsg.mp4,../data/1080p_flip_vertical/-8ygLPzgpsg.mp4,0.0005673616933997705,0.9999233443958584,2.7023634559864007e-05,0.10447536192709887
3,../data/1080p/-8ygLPzgpsg.mp4,../data/1080p_flip_horizontal/-8ygLPzgpsg.mp4,0.0003508675674885886,0.7985058496356214,1.0583240986572484e-05,0.06835299765137466
4,../data/1080p/-8ygLPzgpsg.mp4,../data/1080p_rotate_90_clockwise/-8ygLPzgpsg.mp4,0.00012459426910160776,0.3693968944419116,3.1782999036611415e-05,0.11329646073573636
5,../data/1080p/-8ygLPzgpsg.mp4,../data/1080p_rotate_90_counterclockwise/-8ygLPzgpsg.mp4,0.00013932134852034928,0.3879375416012745,1.3710877125316934e-05,0.08118806949620853
6,../data/1080p/-8ygLPzgpsg.mp4,../data/720p/-8ygLPzgpsg.mp4,1.3583255478955003e-05,0.09016930483794264,0.0001053684444121128,0.22076783515655754
7,../data/1080p/-8ygLPzgpsg.mp4,../data/720p_watermark/-8ygLPzgpsg.mp4,0.00015552143397723484,0.3504102395549518,0.0001398208373786236,0.26985524288953616
8,../data/1080p/-8ygLPzgpsg.mp4,../data/720p_flip_vertical/-8ygLPzgpsg.mp4,0.0004408143769075723,0.8590998611641187,9.65732633083638e-05,0.19811244761864386
9,../data/1080p/-8ygLPzgpsg.mp4,../data/720p_flip_horizontal/-8ygLPzgpsg.mp4,0.0003156393476387853,0.7131321004706399,0.00010913867790918186,0.2119792030063168
10,../data/1080p/-8ygLPzgpsg.mp4,../data/720p_rotate_90_clockwise/-8ygLPzgpsg.mp4,0.0002682049460883684,0.5975855990588448,8.269044035691397e-05,0.18398234061228114
11,../data/1080p/-8ygLPzgpsg.mp4,../data/720p_rotate_90_counterclockwise/-8ygLPzgpsg.mp4,0.0002870426785898106,0.6128818328263624,9.851508205083181e-05,0.20093891258581723
12,../data/1080p/-8ygLPzgpsg.mp4,../data/480p/-8ygLPzgpsg.mp4,1.1464074684552905e-05,0.08279790600009822,0.00017144070761354602,0.27998031633038584
13,../data/1080p/-8ygLPzgpsg.mp4,../data/480p_watermark/-8ygLPzgpsg.mp4,0.00012968498471155332,0.32018538608865055,0.000240971014895619,0.33607101836908837
14,../data/1080p/-8ygLPzgpsg.mp4,../data/480p_flip_vertical/-8ygLPzgpsg.mp4,0.0003710069391142934,0.7485173558897045,0.00018196037810969123,0.2732825391775688
15,../data/1080p/-8ygLPzgpsg.mp4,../data/480p_flip_horizontal/-8ygLPzgpsg.mp4,0.00034789748787744657,0.6967636456722633,0.00015995069859009448,0.259663835540772
16,../data/1080p/-8ygLPzgpsg.mp4,../data/480p_rotate_90_clockwise/-8ygLPzgpsg.mp4,0.0003101963109853889,0.7090639925384322,0.0001616835625941615,0.2589903582062135
