,size,temporal_canny-cross-correlation,temporal_canny-euclidean,temporal_canny-manhattan,temporal_canny-max,temporal_canny-mean,temporal_canny-std,temporal_cross_correlation-cosine,temporal_cross_correlation-cross-correlation,temporal_cross_correlation-euclidean,temporal_cross_correlation-manhattan,temporal_cross_correlation-max,temporal_cross_correlation-mean,temporal_cross_correlation-std,temporal_dct-cross-correlation,temporal_dct-euclidean,temporal_dct-manhattan,temporal_dct-max,temporal_dct-mean,temporal_dct-std,temporal_difference-cosine,temporal_difference-cross-correlation,temporal_difference-euclidean,temporal_difference-manhattan,temporal_difference-max,temporal_difference-mean,temporal_difference-std,temporal_histogram_distance-cross-correlation,temporal_histogram_distance-euclidean,temporal_histogram_distance-manhattan,temporal_histogram_distance-max,temporal_histogram_distance-mean,temporal_histogram_distance-std,title,variation,attack,attack_ID,dimension
5318,795504,0.0,1.3330658419718877,0.10117216338400001,0.681993272569,0.09146337571489999,0.08104175687199999,0.0027236570312600002,104.1476391,1.5337114162013623,0.072189901721,0.926815569401,0.875190275557,0.0647265215727,0.0,350.3863450228879,0.000266249282781,41.1056060791,31.5704089253,5.91565018271,0.00230328186802,72.44172495,0.5925193311960871,0.342659552713,0.989583333333,0.7575448799310001,0.164707231163,0.0,0.4804999084483766,0.259182047872,0.07232306456130001,0.0408259824849,0.0165350712993,../../data/1080p/w75z31IBxpc.mp4,../../data/360p_flip_vertical/w75z31IBxpc.mp4,360p_flip_vertical,0,360
5319,797850,0.0,1.5811615199651656,0.0809685298097,0.722330729167,0.112188885971,0.09177505208789999,0.00281525041393,105.91806549,1.4039892077662377,0.0827682570293,0.932547986507,0.890067808768,0.0669291190873,0.0,197.41643288093482,0.00047066326875599995,24.6591243744,17.8626994205,2.90349012167,0.00196293295694,72.63421524,0.5455750672979055,0.383444803878,0.988064236111,0.760155657315,0.161097046223,0.0,0.5065514682768395,0.239530767705,0.0778652545204,0.0434859581444,0.0162857859045,../../data/1080p/w75z31IBxpc.mp4,../../data/360p_rotate_90_clockwise/w75z31IBxpc.mp4,360p_rotate_90_clockwise,0,360
5320,317890,0.0,0.5653817009172547,0.547951721268,0.456732855903,0.023739313433699998,0.046072050119,2.1045572862200003e-06,118.70112319,0.03534092403132707,1.42626568292,0.998730957508,0.9974884656299999,0.00204646543961,0.0,8.688372087055836,0.0118308774411,1.9949264526400003,0.718693987412,0.343264173763,0.006654382170899999,71.7198983,0.9960060145630676,0.18691911022799998,0.988037109375,0.7518503169499999,0.170230438831,0.0,0.9498407626514656,0.117018749766,0.154578391545,0.0802154543754,0.0338669789146,../../data/1080p/w75z31IBxpc.mp4,../../data/240p/w75z31IBxpc.mp4,240p,1,240
5321,318017,0.0,0.6903160249854077,0.390818976941,0.5208062065969999,0.029905288938500002,0.0557689850765,4.23011795461e-05,118.29317847,0.11894226147717962,3.41079355786,0.9975773096080001,0.99406035858,0.00914361265958,0.0,11.881455920561384,0.008320543219009999,2.3567199707,1.0183568131,0.38632043059199994,0.00728998433127,70.28051512,1.0713389599153489,0.172009294773,0.983317057292,0.7327159379379999,0.185747340387,0.0,1.6240719731705455,0.0624986205452,0.227767932065,0.14286011048900002,0.0419019909806,../../data/1080p/w75z31IBxpc.mp4,../../data/240p_watermark/w75z31IBxpc.mp4,240p_watermark,0,240
5322,492247,0.0,0.5962115824831379,0.434297024104,0.463243272569,0.0277527026436,0.047084133807199995,2.75814631517e-05,116.69643232,0.2256201255363494,0.767130423204,0.9854346513750001,0.980642323234,0.00728355392125,0.0,287.8783707445386,0.00032474644721599996,32.8971328735,25.8850878227,5.1363439926300005,0.00975573135549,70.97078127,1.20628813360787,0.133085915218,0.977457682292,0.742799789187,0.18386732964699998,0.0,12.292624623920693,0.008036033874270002,2.04008791007,1.05411340638,0.398328085687,../../data/1080p/w75z31IBxpc.mp4,../../data/240p_vignette/w75z31IBxpc.mp4,240p_vignette,0,240
5323,421560,0.0,0.7130808650778531,0.261119020804,0.454535590278,0.040585472470199994,0.05124253023159999,0.00023497364989900001,112.12414877,0.668545364307036,0.170188346074,0.98749512434,0.942219771257,0.0204292858065,0.0,609.172000868676,0.000160902455756,74.8964309692,52.2348364822,19.7466362854,0.0106463033779,71.05205236,1.256209378370354,0.131553309709,0.99072265625,0.743620657899,0.18704537577799998,0.0,32.912278252947544,0.00285830597192,4.344659700019999,2.9483829951200002,0.640086310975,../../data/1080p/w75z31IBxpc.mp4,../../data/240p_black_and_white/w75z31IBxpc.mp4,240p_black_and_white,0,240
5324,83061,0.0,0.6165361826259484,0.42070665571099997,0.478054470486,0.0283777573529,0.048877011498800006,2.50350021473e-05,118.12770388,0.11074980021904346,7.830098797889999,0.99689167738,0.9926698157770001,0.00702428191232,0.0,20.509509098099567,0.00516030850072,5.41417694092,1.6368644007100002,0.924913262131,0.0435778495605,57.71241273,2.7722341697968846,0.045493587655100004,0.985595703125,0.601205065359,0.231593781952,0.0,2.5143739050065705,0.0416137655551,0.635490787519,0.21034041828800001,0.09425284418789999,../../data/1080p/w75z31IBxpc.mp4,../../data/240p_low_bitrate_4/w75z31IBxpc.mp4,240p_low_bitrate_4,0,240
5325,317206,0.0,1.2628618490594372,0.10869174227,0.6638726128469999,0.0857170667746,0.0778102411102,0.00255510018288,104.23555238,1.516643777802135,0.0726509775659,0.926611423492,0.875929042572,0.0627366605257,0.0,350.65288885125665,0.000266100426241,41.0558815002,31.588064706599997,5.95399340775,0.006785821583539999,70.51515539,1.0313983511548486,0.17320133998,0.982584635417,0.7374471598540001,0.175454231948,0.0,0.9613548813621204,0.114065062885,0.156876153659,0.08207501094539998,0.032095265854,../../data/1080p/w75z31IBxpc.mp4,../../data/240p_flip_vertical/w75z31IBxpc.mp4,240p_flip_vertical,0,240
5326,319843,0.0,1.513231014706336,0.0850209992458,0.708930121528,0.107242017901,0.0879871507931,0.00272678445815,106.03435689,1.3892608374499398,0.0835726637072,0.933083713055,0.891045047455,0.0659370718204,0.0,196.65624978988566,0.00047244250998,24.5324192047,17.7954592825,2.88280095981,0.005052925673689999,71.54867957,0.8779748514654571,0.217802828884,0.983235677083,0.748021343954,0.17316183430999998,0.0,0.9678606648738328,0.114465079167,0.149696245452,0.08181755373989999,0.0343186901466,../../data/1080p/w75z31IBxpc.mp4,../../data/240p_rotate_90_clockwise/w75z31IBxpc.mp4,240p_rotate_90_clockwise,0,240
5327,145753,0.0,0.5623060239960892,0.482058792761,0.434244791667,0.0258355946545,0.04460453574130001,2.5043553411e-06,118.47363903,0.05402687839510332,2.11127484526,0.997559666634,0.9955768339769999,0.00222812424876,0.0,10.866643234497811,0.00955614486053,2.8902130127,0.887770665543,0.451846458161,0.007654100129770001,69.03887907,1.1392774293891696,0.135813021309,0.994954427083,0.721456746761,0.176830755964,0.0,1.7860724428679728,0.0593472404997,0.315449991376,0.149999858061,0.0656294562885,../../data/1080p/w75z31IBxpc.mp4,../../data/144p/w75z31IBxpc.mp4,144p,1,144
